convo_id,msg_count_5min,tokens_5min,avg_tokens_per_msg,model_tier,user_tier,total_cost_usd,msg_count_5min_norm,tokens_5min_norm,avg_tokens_per_msg_norm,model_tier_norm,user_tier_norm,response_time_sec,cost_per_message,cost_per_token,engagement_intensity,model_user_interaction,log_tokens,log_cost,question_type,high_cost_flag,cost_class,cost_per_message_norm,cost_per_token_norm,engagement_intensity_norm,model_user_interaction_norm,log_tokens_norm,log_cost_norm,conversation_success
PK001,8,880,110.0,1,2,0.18,0.3333333333,0.2425653887,0.06829819414,0.0,0.5,4.321506294457041,0.0225,0.00020454545454545454,880.0,0.0,6.78105762593618,0.16551443847757338,technical,0,0,0.02745306411618845,0.04549984898822107,0.24256538873217015,0.0,0.5445353926788017,0.12751806399853416,0
HG002,19,1372,72.21052632,2,3,0.55,0.9444444444,0.4188462917,0.04213058294,0.5,1.0,3.239618832515598,0.028947368421052635,0.00040087463556851314,1372.00000008,0.5,7.224753405767971,0.4382549309311553,technical,0,1,0.03613177470775771,0.5069060372131766,0.4188462916503872,0.5,0.7096880624854687,0.402902604935802,0
YB003,7,2891,413.0,3,3,1.73,0.2777777778,0.9630956646,0.2781128706,1.0,1.0,8.162667957900055,0.24714285714285714,0.0005984088550674507,2891.0,1.0,7.969703583278656,1.0043016091968684,technical,1,2,0.32984160720611305,0.971144266028952,0.9630956645673168,1.0,0.9869737980754758,0.9744367517027999,0
ZW004,19,2350,123.6842105,2,1,0.94,0.9444444444,0.7692583303,0.07777393079,0.5,0.0,5.984356283529166,0.049473684210526316,0.00039999999999999996,2349.9999995000003,0.0,7.762596048540069,0.6626879730752367,technical,1,2,0.06376195536663125,0.5048504983388702,0.7692583301132743,0.0,0.9098841257055432,0.6295113850476188,1
HB005,9,643,71.44444444,3,2,0.39,0.3888888889,0.157649588,0.04160010367,1.0,0.5,2.3651608932218924,0.043333333333333335,0.0006065318818040435,642.99999996,0.5,6.467698726104354,0.3293037471426004,technical,0,1,0.05549651670799386,0.9902347281999346,0.1576495879356754,0.5,0.42789678292117506,0.2928952075659765,0
GK006,19,1248,65.68421053,3,2,0.75,0.9444444444,0.3744177714,0.03761138546,1.0,0.5,2.5845414545111565,0.039473684210526314,0.0006009615384615385,1248.00000007,0.5,7.130098510125578,0.5596157879354227,technical,0,1,0.05030109812256464,0.9771434960388448,0.37441777140634763,0.5,0.6744555688801901,0.5254399795413037,0
UV007,19,612,32.21052632,1,1,0.12,0.9444444444,0.1465424579,0.01443227582,0.0,0.0,2.947134078616033,0.00631578947368421,0.000196078431372549,612.00000008,0.0,6.418364935936212,0.11332868530700317,technical,0,0,0.005667729365922776,0.025600938049638422,0.14654245791855658,0.0,0.4095337343453256,0.07482640259153242,0
YS008,12,2595,216.25,1,2,0.52,0.5555555556,0.8570404873,0.1418718224,0.0,0.5,5.537733203227589,0.043333333333333335,0.0002003853564547206,2595.0,0.0,7.86172707782398,0.41871033485818504,technical,0,1,0.05549651670799386,0.03572292742880184,0.8570404872191301,0.0,0.9467827280612551,0.3831685362284381,1
OB009,6,2366,394.3333333,3,3,1.42,0.2222222222,0.7749910426,0.2651869939,1.0,1.0,3.9940008787465553,0.23666666666666666,0.0006001690617075232,2365.9999998,1.0,7.769378609513984,0.883767540168595,technical,1,2,0.31573975675994803,0.975281044026252,0.7749910425098536,1.0,0.9124087340157532,0.8527341802655894,0
DG010,12,1725,143.75,3,3,1.04,0.5555555556,0.5453242565,0.09166864078,1.0,1.0,3.724746990780485,0.08666666666666667,0.0006028985507246377,1725.0,1.0,7.453561871643373,0.712949807856125,technical,1,2,0.11382689809894911,0.9816957966199624,0.5453242564997977,1.0,0.7948552665278785,0.6802604768795014,0
DR011,7,2926,418.0,2,3,1.17,0.2777777778,0.9756359728,0.281575159,0.5,1.0,6.0509101910143555,0.16714285714285712,0.0003998632946001367,2926.0,0.5,7.9817332866918855,0.7747271675523681,technical,1,2,0.22215474925358022,0.5045292179406533,0.9756359726997037,0.5,0.9914515004246631,0.7426367294381925,0
KF012,14,2493,178.0714286,1,1,0.5,0.6666666667,0.8204944464,0.1154347775,0.0,0.0,3.9108425831932525,0.03571428571428571,0.00020056157240272763,2493.0000004,0.0,7.821643126239982,0.4054651081081644,technical,0,1,0.04524062547441931,0.03613706417837048,0.8204944465194915,0.0,0.9318626591279688,0.3697949052895513,0
UH013,15,2229,148.6,2,3,0.89,0.7222222222,0.7259046937,0.09502706052,0.5,1.0,6.035397302668642,0.059333333333333335,0.0003992821893225662,2229.0,0.5,7.709756864454165,0.636576829071551,technical,0,2,0.07703388829850041,0.5031635240092469,0.7259046936061695,0.5,0.890216297615086,0.6031471098345216,1
ZJ014,6,1187,197.8333333,3,1,0.71,0.2222222222,0.3525618058,0.1291190602,1.0,0.0,6.67800664584507,0.11833333333333333,0.0005981465880370682,1186.9999997999998,0.0,7.080026499922591,0.5364933705145685,technical,0,1,0.1564529460384933,0.9705278949416012,0.352561805707448,0.0,0.6558177396658915,0.5020934047459036,0
BV015,7,2486,355.1428571,2,2,0.99,0.2777777778,0.8179863848,0.2380492478,0.5,0.5,5.540895416517964,0.14142857142857143,0.0003982300884955752,2485.9999997,0.25,7.818832443803404,0.688134638736401,technical,1,2,0.18754111634026616,0.5006909122982388,0.8179863846422081,0.25,0.9308164654757429,0.6552047402162742,0
JI016,15,1161,77.4,3,2,0.7,0.7222222222,0.3432461483,0.04572407384,1.0,0.5,5.571461470271679,0.04666666666666666,0.0006029285099052541,1161.0,0.5,7.057897937411856,0.5306282510621704,technical,0,1,0.05998346912268272,0.9817662056710188,0.3432461483093338,0.5,0.6475810348249822,0.4961714266288633,0
XB017,10,2444,244.4,2,3,0.98,0.4444444444,0.802938015,0.1613645061,0.5,1.0,6.570446729180328,0.098,0.00040098199672667755,2444.0,0.5,7.801800401908973,0.6830968447064438,technical,1,2,0.12908253630889124,0.5071583537689424,0.8029380149908321,0.5,0.9244767901419122,0.6501181079241792,0
QN018,6,1259,209.8333333,1,2,0.25,0.2222222222,0.3783590111,0.1374285523,0.0,0.5,4.407006142690419,0.041666666666666664,0.00019857029388403494,1258.9999997999998,0.0,7.138866999945524,0.22314355131420976,technical,0,0,0.053253040500649426,0.031457228882280086,0.3783590110083583,0.0,0.6777193806398731,0.18570585503891326,0
MW019,5,2679,535.8,2,2,1.07,0.1666666667,0.8871372268,0.3631466735,0.5,0.5,4.243544062568411,0.21400000000000002,0.00039940276222471074,2679.0,0.25,7.893572073504902,0.7275486072772778,technical,1,2,0.2852284803400638,0.5034468903580078,0.8871372267368587,0.25,0.9586360886198793,0.6950008025299496,1
DB020,19,505,26.57894737,2,1,0.2,0.9444444444,0.1082049445,0.01053264574,0.5,0.0,6.045439731840261,0.010526315789473684,0.00039603960396039607,505.00000003,0.0,6.226536669287466,0.18232155679395465,technical,0,0,0.011335458731845553,0.4955429097727048,0.1082049444673447,0.0,0.33813131894837056,0.14448811681466567,0
IB021,10,2832,283.2,3,1,1.7,0.4444444444,0.9419562881,0.188231864,1.0,0.0,4.845957465924657,0.16999999999999998,0.0006002824858757061,2832.0,0.0,7.949091499830517,0.9932517730102833,technical,1,2,0.2260007084661707,0.9755476096627058,0.941956288001293,0.0,0.9793015578458562,0.963279794265713,0
NI022,7,1838,262.5714286,2,1,0.74,0.2777777778,0.5858115371,0.1739474513,0.5,0.0,7.767419892099417,0.10571428571428572,0.0004026115342763874,1838.0000002,0.0,7.516977224604321,0.5538851132264376,technical,0,1,0.13946662618288547,0.5109880376980611,0.5858115371131629,0.0,0.8184597615992608,0.519653749525373,0
UO023,3,396,132.0,2,1,0.16,0.05555555556,0.06915084199,0.08353226306,0.5,0.0,6.2902290735162,0.05333333333333334,0.00040404040404040404,396.0,0.0,5.983936280687191,0.14842000511827327,technical,0,0,0.06895737395206046,0.5143461189972818,0.06915084198716225,0.0,0.24783047838446004,0.11025791079984928,1
AO024,19,985,51.84210526,1,3,0.2,0.9444444444,0.2801863131,0.02802631339,0.0,1.0,3.1489072207939754,0.010526315789473684,0.00020304568527918784,984.99999994,0.0,6.893656354602635,0.18232155679395465,technical,0,0,0.011335458731845553,0.041975142081386974,0.28018631310783326,0.0,0.5864469489779207,0.14448811681466567,1
EK025,12,1719,143.25,2,1,0.69,0.5555555556,0.5431744894,0.09132241194,0.5,0.0,2.757370125369289,0.057499999999999996,0.0004013961605584642,1719.0,0.0,7.450079569807499,0.5247285289349821,technical,0,1,0.07456606447042152,0.5081317075716196,0.5431744893913885,0.0,0.7935590823597862,0.49021451038574376,1
VN026,12,2824,235.3333333,2,1,1.13,0.5555555556,0.9390899319,0.1550862231,0.5,0.0,6.945689221915539,0.09416666666666666,0.00040014164305949006,2823.9999995999997,0.0,7.946263643580541,0.7561219797213337,technical,1,2,0.12392254103199905,0.5051833830574195,0.9390899317134294,0.0,0.9782489717480347,0.7238511759480994,0
NN027,18,1475,81.94444444,3,1,0.89,0.8888888889,0.455750627,0.04887090929,1.0,0.0,7.22428517416264,0.049444444444444444,0.0006033898305084746,1474.99999992,0.0,7.297091005160418,0.636576829071551,technical,0,2,0.06372259613492344,0.9828503857199165,0.45575062695408447,0.0,0.7366136006810242,0.6031471098345216,0
FC028,7,551,78.71428571,2,3,0.22,0.2777777778,0.1246864923,0.04663416107,0.5,1.0,1.6414231482289394,0.03142857142857143,0.00039927404718693283,550.99999997,0.5,6.313548046277095,0.1988508587451652,technical,0,0,0.039471686655533626,0.5031443886379943,0.12468649227698413,0.5,0.37051873813644454,0.16117766000973158,0
BD029,11,1440,130.9090909,1,3,0.29,0.5,0.4432103189,0.08277685468,0.0,1.0,6.366045241693266,0.026363636363636363,0.00020138888888888886,1439.9999999,0.0,7.273092595999522,0.25464221837358075,technical,0,0,0.03265384986957782,0.038081395348837144,0.4432103188145316,0.0,0.7276809005648834,0.21750988197399332,0
ML030,10,1302,130.2,2,3,0.52,0.4444444444,0.3937656754,0.08228583924,0.5,1.0,2.6668435211376282,0.052000000000000005,0.00039938556067588326,1302.0,0.5,7.172424577124845,0.41871033485818504,technical,0,1,0.06716259298618492,0.5034064638608631,0.39376567535694973,0.5,0.6902101991586096,0.3831685362284381,0
UI031,14,839,59.92857143,2,2,0.34,0.6666666667,0.2278753135,0.03362584898,0.5,0.5,4.686614933886846,0.02428571428571429,0.0004052443384982122,839.00000002,0.25,6.733401891837359,0.29266961396282004,technical,0,0,0.02985678862405749,0.5171755649622434,0.2278753134985399,0.25,0.5267969509902182,0.25590592937852313,0
OL032,11,1013,92.09090909,3,2,0.61,0.5,0.2902185597,0.05589690664,1.0,0.5,5.69581777015606,0.05545454545454545,0.0006021717670286279,1012.99999999,0.5,6.921658184151129,0.4762341789963716,technical,0,1,0.07181270730686246,0.9799877342061505,0.29021855963165755,0.5,0.596869804275661,0.44125003805617824,0
WE033,4,2923,730.75,2,1,1.17,0.1111111111,0.9745610892,0.4981412978,0.5,0.0,8.576025742871112,0.2925,0.0004002736914129319,2923.0,0.0,7.980707820869669,0.7747271675523681,technical,1,2,0.3908962097059865,0.50549371862295,0.974561089145499,0.0,0.9910698010125145,0.7426367294381925,1
LI034,10,2942,294.2,2,3,1.18,0.4444444444,0.9813686851,0.1958488984,0.5,1.0,4.954947162374736,0.118,0.0004010876954452753,2942.0,0.5,7.987184748233473,0.7793248768009976,technical,1,2,0.1560042507970244,0.5074067633155739,0.9813686849887948,0.5,0.9934806462242531,0.747279010602264,0
SI035,17,1900,111.7647059,2,3,0.76,0.8333333333,0.6080257972,0.06952017828,0.5,1.0,7.560349074153109,0.04470588235294118,0.0004,1900.0000003,0.5,7.550135342488429,0.5653138090500605,technical,0,2,0.057344085349336334,0.5048504983388704,0.6080257972692207,0.5,0.8308018931750913,0.5311932394067139,0
FN036,3,1267,422.3333333,3,3,0.76,0.05555555556,0.3812253673,0.2845758089,1.0,1.0,7.05329354039926,0.25333333333333335,0.0005998421468034728,1266.9999999,1.0,7.145196134997171,0.5653138090500605,technical,0,2,0.3381745188333924,0.9745127396969322,0.38122536718873334,1.0,0.6800752145216888,0.5311932394067139,0
GM037,7,1570,224.2857143,2,3,0.63,0.2777777778,0.4897886062,0.1474362145,0.5,1.0,5.61973036032246,0.09,0.00040127388535031845,1570.0000000999999,0.5,7.359467638255621,0.48858001481867097,technical,0,1,0.11831385051363796,0.5078443405209809,0.4897886062350562,0.5,0.759831462913406,0.45371555903484045,0
FL038,18,1335,74.16666667,3,1,0.8,0.8888888889,0.4055893945,0.04348512735,1.0,0.0,6.761009260539204,0.044444444444444446,0.000599250936329588,1335.00000006,0.0,7.197435354096591,0.5877866649021191,technical,0,2,0.05699216751289015,0.9731232968755832,0.405589394474698,0.0,0.6995197233384176,0.5538839555401894,1
DX039,15,1815,121.0,1,1,0.36,0.7222222222,0.5775707632,0.0759152286,0.0,0.0,4.433202792892477,0.024,0.00019834710743801652,1815.0,0.0,7.504391559161238,0.3074846997479606,technical,0,0,0.02947219270279844,0.030932703659976357,0.5775707631259355,0.0,0.813775118779339,0.27086463815397765,0
BO040,15,584,38.93333333,1,1,0.12,0.7222222222,0.1365102114,0.01908753515,0.0,0.0,3.9750405249890814,0.008,0.0002054794520547945,583.9999999500001,0.0,6.371611847231857,0.11332868530700317,technical,0,0,0.007934821112291887,0.047694898284257936,0.13651021136606878,0.0,0.39213127578653717,0.07482640259153242,0
VU041,20,1354,67.7,3,3,0.81,1.0,0.4123969903,0.03900723436,1.0,1.0,4.629869463796289,0.0405,0.0005982274741506647,1354.0,1.0,7.2115567333138015,0.5933268452777344,technical,0,2,0.05168260715550833,0.9707179907447845,0.41239699029649607,1.0,0.7047759903237805,0.5594778444993367,0
EB042,17,1580,92.94117647,3,2,0.95,0.8333333333,0.4933715514,0.05648568081,1.0,0.5,3.6479015918477327,0.055882352941176466,0.0006012658227848101,1579.99999999,0.5,7.365812837209472,0.6678293725756554,technical,1,2,0.07238857285741075,0.9778586147441017,0.4933715513763259,0.5,0.7621932761091057,0.6347026272004094,0
SS043,2,2127,1063.5,1,3,0.43,0.0,0.6893586528,0.7285565902,0.0,1.0,6.542668035410589,0.215,0.00020216267042783261,2127.0,0.0,7.662937850461535,0.3576744442718159,technical,0,1,0.2865745660644704,0.039899910500494296,0.6893586527632133,0.0,0.8727893003118212,0.3215409408588755,0
TO044,19,2120,111.5789474,2,3,0.85,0.9444444444,0.6868505912,0.06939154837,0.5,1.0,7.0530553666407885,0.04473684210526316,0.0004009433962264151,2120.0000006,0.5,7.659642954564682,0.6151856390902335,technical,0,2,0.057385759829968117,0.5070676361812825,0.6868505913517126,0.5,0.8715628724780777,0.5815485456458558,0
VT045,10,1002,100.2,1,3,0.2,0.4444444444,0.28627732,0.0615121089,0.0,1.0,4.1615515338177405,0.02,0.00019960079840319363,1002.0,0.0,6.910750787961936,0.18232155679395465,technical,0,0,0.024087849805171802,0.033879085682455734,0.2862773199364903,0.0,0.5928098476946739,0.14448811681466567,0
ZV046,20,1531,76.55,2,3,0.61,1.0,0.47581512,0.04513548481,0.5,1.0,4.920329230391664,0.0305,0.0003984323971260614,1531.0,0.5,7.3343293503005365,0.4762341789963716,technical,0,1,0.03822174991144173,0.5011663711859662,0.4758151199945671,0.5,0.7504744765302473,0.44125003805617824,1
CS047,10,2700,270.0,1,2,0.54,0.4444444444,0.8946614117,0.1790914226,0.0,0.5,3.980395018197078,0.054000000000000006,0.0002,2700.0,0.0,7.901377353792616,0.43178241642553783,technical,0,1,0.06985476443499823,0.034817275747508314,0.8946614116162909,0.0,0.9615413740354715,0.396367343450408,1
XD048,16,339,21.1875,3,1,0.2,0.7777777778,0.04872805446,0.006799296609,1.0,0.0,3.0954159070353624,0.0125,0.0005899705014749262,339.0,0.0,5.8289456176102075,0.18232155679395465,technical,0,0,0.013992206872121856,0.9513127333666538,0.04872805445727495,0.0,0.19013977460545783,0.14448811681466567,0
KO049,3,1991,663.6666667,1,1,0.4,0.05555555556,0.6406305984,0.4516889286,0.0,0.0,6.906026690046923,0.13333333333333333,0.00020090406830738323,1991.0000000999999,0.0,7.596894438144544,0.33647223662121295,technical,0,1,0.1766442319045932,0.03694198644731855,0.6406305983417677,0.0,0.8482065876445324,0.30013319106641806,1
JZ050,6,525,87.5,3,3,0.32,0.2222222222,0.1153708348,0.05271789639,1.0,1.0,3.8845157038423106,0.05333333333333334,0.0006095238095238096,525.0,1.0,6.26530121273771,0.2776317365982795,technical,0,0,0.06895737395206046,0.997266255339345,0.1153708348179598,1.0,0.3525602771121634,0.2407222691986556,0
EN051,18,1386,77.0,2,3,0.55,0.8888888889,0.4238624149,0.04544709077,0.5,1.0,3.6301103907786767,0.030555555555555558,0.0003968253968253969,1386.0,0.5,7.234898420314831,0.4382549309311553,technical,0,1,0.038296532451686544,0.4973896535358329,0.4238624148746784,0.5,0.7134642449821258,0.402902604935802,0
EX052,11,1196,108.7272727,1,2,0.24,0.5,0.3557864565,0.06741688437,0.0,0.5,5.400607348060912,0.021818181818181816,0.00020066889632107022,1195.9999997,0.0,7.087573705557973,0.2151113796169455,technical,0,0,0.026535278395002092,0.03638929321436901,0.3557864563342324,0.0,0.6586269644025697,0.1775958164609163,0
MS053,17,1425,83.82352941,2,2,0.57,0.8333333333,0.4378359011,0.0501720961,0.5,0.5,5.757248630189424,0.03352941176470588,0.00039999999999999996,1424.99999997,0.25,7.262628600974241,0.4510756193602167,technical,0,1,0.042299597841261895,0.5048504983388702,0.43783590106858933,0.25,0.723785986991615,0.4158475819202433,1
OR054,2,1454,727.0,1,2,0.29,0.0,0.4482264421,0.4955445815,0.0,0.5,6.382978280339045,0.145,0.00019944979367262722,1454.0,0.0,7.282761179605593,0.25464221837358075,technical,0,0,0.19234856535600423,0.03352419948178237,0.4482264421033159,0.0,0.7312797456934015,0.21750988197399332,0
