convo_id,msg_count_5min,tokens_5min,avg_tokens_per_msg,model_tier,user_tier,total_cost_usd,msg_count_5min_norm,tokens_5min_norm,avg_tokens_per_msg_norm,model_tier_norm,user_tier_norm,user_query,query_category,retrieval_method,article_id,retrieval_time_sec,answer_success,user_rating,escalation,timestamp,conversation_duration_sec,knowledge_gap_flag,cost_per_message,query_complexity,day,month,weekday,hallucination_flag,answer_success_num,model_tier_enc,user_tier_enc,retrieval_method_enc,query_category_enc,query_complexity_enc,query_cluster,success_probability
PK001,8,880,110.0,1,2,0.18,0.3333333333,0.2425653887,0.06829819414,0.0,0.5,vpn not connecting,HR Policy,Hybrid,ART_89,3.93,No,5,Yes,2025-05-16,145,Yes,0.0225,Medium,16,5,Friday,No,0,0,1,1,1,2,3,0.26135211827331983
HG002,19,1372,72.21052632,2,3,0.55,0.9444444444,0.4188462917,0.04213058294,0.5,1.0,expense reimbursement process,Operations,AI,ART_31,2.68,Yes,5,No,2025-05-13,260,No,0.0289,Medium,13,5,Tuesday,No,1,1,2,0,3,2,0,0.9088847728082524
YB003,7,2891,413.0,3,3,1.73,0.2777777778,0.9630956646,0.2781128706,1.0,1.0,how to install company software,Operations,Search,ART_32,5.67,Yes,3,No,2025-06-27,96,No,0.2471,High,27,6,Friday,No,1,2,2,2,3,0,1,0.8160022466534658
ZW004,19,2350,123.6842105,2,1,0.94,0.9444444444,0.7692583303,0.07777393079,0.5,0.0,how to request leave,Software Help,Hybrid,ART_18,4.57,No,3,No,2025-03-08,67,Yes,0.0495,High,8,3,Saturday,No,0,1,0,1,5,0,2,0.35757191855997744
HB005,9,643,71.44444444,3,2,0.39,0.3888888889,0.157649588,0.04160010367,1.0,0.5,vpn not connecting,HR Policy,Hybrid,ART_80,3.84,Yes,3,No,2025-06-16,229,No,0.0433,Low,16,6,Monday,No,1,2,1,1,1,1,3,0.7631190420185026
GK006,19,1248,65.68421053,3,2,0.75,0.9444444444,0.3744177714,0.03761138546,1.0,0.5,email not syncing,Software Help,Hybrid,ART_2,1.6,Yes,1,No,2025-06-10,138,No,0.0395,Medium,10,6,Tuesday,No,1,2,1,1,5,2,0,0.8609946391152374
UV007,19,612,32.21052632,1,1,0.12,0.9444444444,0.1465424579,0.01443227582,0.0,0.0,laptop not turning on,HR Policy,AI,ART_2,0.61,Yes,3,No,2025-03-18,139,No,0.0063,Low,18,3,Tuesday,Yes,1,0,0,0,1,1,0,0.8695250351044005
YS008,12,2595,216.25,1,2,0.52,0.5555555556,0.8570404873,0.1418718224,0.0,0.5,two factor authentication setup,Security,Hybrid,ART_73,2.07,Yes,2,No,2025-04-14,178,No,0.0433,High,14,4,Monday,No,1,0,1,1,4,0,2,0.6942470091085587
OB009,6,2366,394.3333333,3,3,1.42,0.2222222222,0.7749910426,0.2651869939,1.0,1.0,vacation policy details,Software Help,Search,ART_56,5.16,Yes,5,No,2025-04-11,295,No,0.2367,High,11,4,Friday,Yes,1,2,2,2,5,0,1,0.8615736894697633
DG010,12,1725,143.75,3,3,1.04,0.5555555556,0.5453242565,0.09166864078,1.0,1.0,email not syncing,HR Policy,Search,ART_24,3.23,Yes,3,No,2025-04-18,142,No,0.0867,High,18,4,Friday,No,1,2,2,2,1,0,2,0.6845598619185398
